benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,4,SAFE,4288,15,8,6,102.50992063492063,0.9762849584278156,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,8,SAFE,5066,20,9,2,167.64898434898433,0.8823630755209702,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,16,SAFE,8008,37,20,5,615.9520643572116,0.9248529494853027,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,4,SAFE,3847,16,9,0,116.63253968253969,0.9719378306878307,13,0,0,0,0,0,0,0,0,0,10,15,60,15,0,6.0,1.5,7,27,1,NEVER_BATCH,0,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,8,SAFE,4620,19,9,0,152.55615218115216,0.8921412408254512,12,0,0,0,0,0,0,0,0,0,6,18,72,18,0,12.0,3.0,6,36,3,NEVER_BATCH,0,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,16,SAFE,9880,42,27,0,802.7079619726679,0.9322972845211009,31,0,0,0,0,0,0,0,0,0,10,41,120,41,0,12.0,4.1,8,66,5,NEVER_BATCH,0,0,0,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_DUPLICATE,DUPLICATE_ONLY,0,true,true,4,SAFE,3619,14,6,3,88.27936507936508,0.9701029129600558,11,0,0,0,0,0,0,0,0,0,1,3,12,3,0,12.0,3.0,1,4,1,DUPLICATE_ONLY,1,8,1,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_DUPLICATE,DUPLICATE_ONLY,0,true,true,8,SAFE,5707,25,15,5,304.4791847041847,1.0149306156806157,19,0,0,0,0,0,0,0,0,0,1,7,28,7,0,28.0,7.0,1,8,3,DUPLICATE_ONLY,1,10,1,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_DUPLICATE,DUPLICATE_ONLY,0,true,true,16,SAFE,8593,33,16,2,481.4996420246422,0.911931140198186,19,0,0,0,0,0,0,0,0,0,2,16,40,16,0,20.0,8.0,2,19,7,DUPLICATE_ONLY,2,3,2,0,0,0,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_STALE,STALE_ONLY,0,true,true,4,SAFE,3402,13,5,2,75.27936507936508,0.9651200651200651,10,0,0,0,0,0,0,0,0,0,1,3,12,3,0,12.0,3.0,1,5,1,STALE_ONLY,1,7,0,1,0,0,2
