benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BFS,true,true,8,SAFE,4061,7,0,7,21.0,1.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BFS,true,true,16,SAFE,5723,7,0,7,21.0,1.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,DFS,true,true,8,SAFE,4029,7,0,7,21.0,1.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,DFS,true,true,16,SAFE,5692,7,0,7,21.0,1.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,8,SAFE,4850,19,7,3,149.1035298035298,0.8719504666873088,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,16,SAFE,7823,33,20,6,604.3748584748587,1.144649353172081,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,8,SAFE,4833,19,7,3,149.1035298035298,0.8719504666873088,12,0,141,141,115,34,16,0,0,6,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,16,SAFE,8027,35,19,6,577.9748584748587,0.9713863167644684,22,0,366,366,319,128,34,0,0,16,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,8,SAFE,5043,20,9,0,177.44148629148629,0.9339025594288752,13,0,0,0,0,0,0,0,0,0,8,19,76,19,0,9.5,2.375,7
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,16,SAFE,8204,34,16,0,508.26358086358107,0.90599568781387,20,0,0,0,0,0,0,0,0,0,6,34,80,34,0,13.333333333333334,5.666666666666667,6
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BFS,true,true,8,SAFE,4653,6,0,6,15.0,1.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BFS,true,true,16,SAFE,6347,6,0,6,15.0,1.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,DFS,true,true,8,SAFE,4657,6,0,6,15.0,1.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,DFS,true,true,16,SAFE,6338,6,0,6,15.0,1.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,8,SAFE,6012,23,11,11,237.9718253968254,0.9406001003827091,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,16,SAFE,8947,34,15,11,536.8932900432901,0.9570290375103211,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,8,SAFE,6865,23,11,11,237.9718253968254,0.9406001003827091,16,0,200,200,162,68,22,0,0,7,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,16,SAFE,8753,35,15,10,537.8023809523811,0.9038695478191279,20,0,494,494,426,107,34,0,0,11,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,8,SAFE,8840,33,15,0,508.5647824397824,0.9631908758329212,26,0,0,0,0,0,0,0,0,0,16,32,128,32,0,8.0,2.0,16
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,16,SAFE,9554,34,13,0,539.4204545454543,0.961533787068546,20,0,0,0,0,0,0,0,0,0,11,34,104,34,0,9.454545454545455,3.090909090909091,9
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,BFS,true,true,8,UNKNOWN,4193,5,0,5,10.0,1.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,BFS,true,true,16,UNKNOWN,5877,5,0,5,10.0,1.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,DFS,true,true,8,UNKNOWN,4204,5,0,5,10.0,1.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,DFS,true,true,16,UNKNOWN,5862,5,0,5,10.0,1.0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,true,8,UNKNOWN,6132,15,5,8,89.57936507936509,0.8531368102796675,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
