benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,4,SAFE,3804,13,5,3,73.5188492063492,0.9425493487993487,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,8,SAFE,5078,20,9,3,168.1035298035298,0.8847554200185779,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,16,SAFE,7799,37,21,5,650.3603788368496,0.976517085340615,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,4,SAFE,3841,13,5,6,83.50992063492063,1.070640008140008,11,0,73,73,59,19,10,0,0,2,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,8,SAFE,5050,21,10,4,188.1035298035298,0.8957310943025228,14,0,156,156,131,47,17,0,0,5,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,16,SAFE,8007,36,19,5,584.4758200133203,0.9277393968465403,22,0,366,366,319,127,34,0,0,16,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,4,SAFE,3633,14,6,0,88.07698412698413,0.9678789464503751,11,0,0,0,0,0,0,0,0,0,9,13,52,13,0,5.777777777777778,1.4444444444444444,7
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,8,SAFE,4818,19,8,0,152.15615218115218,0.8898020595389017,12,0,0,0,0,0,0,0,0,0,5,18,72,18,0,14.4,3.6,5
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,16,SAFE,7780,36,18,0,543.8491272616276,0.8632525829549644,21,0,0,0,0,0,0,0,0,0,4,35,84,35,0,21.0,8.75,4
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,4,SAFE,4058,14,4,8,88.68333333333334,0.9745421245421246,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,8,SAFE,5774,21,10,10,209.9718253968254,0.9998658352229781,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,16,SAFE,8748,34,14,11,505.1660173160174,0.9004741841640239,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,4,SAFE,4053,14,4,7,88.35,0.9708791208791209,11,0,94,94,82,42,12,0,0,1,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,8,SAFE,7038,24,12,11,260.6384920634921,0.9443423625488844,17,0,224,224,186,92,23,0,0,5,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,16,SAFE,9128,35,15,9,538.2665945165945,0.9046497386833522,20,0,488,488,416,99,34,0,0,14,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,4,SAFE,5537,19,11,0,167.59285714285716,0.9800751879699249,16,0,0,0,0,0,0,0,0,0,14,18,72,18,0,5.142857142857143,1.2857142857142858,10
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,8,SAFE,6614,25,9,0,281.6472222222222,0.938824074074074,18,0,0,0,0,0,0,0,0,0,10,24,96,24,0,9.6,2.4,10
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,16,SAFE,9353,34,14,0,507.5926767676766,0.9047997803345394,20,0,0,0,0,0,0,0,0,0,9,33,100,33,0,11.11111111111111,3.6666666666666665,9
