benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,4,SAFE,4043,14,6,4,88.05537518037518,0.9676414854986284,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,8,SAFE,4847,19,7,2,148.64898434898433,0.8692923061344113,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,16,SAFE,7799,38,20,2,618.0238592290066,0.8791235550910478,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,4,SAFE,4237,14,6,3,87.53373015873017,0.9619091226234084,11,0,57,57,43,16,9,0,0,1,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,8,SAFE,4854,18,7,3,147.1035298035298,0.9614609791080378,12,0,141,141,115,34,16,0,0,6,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,16,SAFE,7803,37,20,4,586.6008200133201,0.8807820120320122,23,0,365,365,315,87,34,0,0,15,0,0,0,0,0,0.0,0.0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,4,SAFE,3817,15,7,0,102.07698412698413,0.9721617535903251,12,0,0,0,0,0,0,0,0,0,10,14,56,14,0,5.6,1.4,7
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,8,SAFE,5247,23,13,0,239.33196248196245,0.9459761362923417,16,0,0,0,0,0,0,0,0,0,9,22,88,22,0,9.777777777777779,2.4444444444444446,9
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,true,true,16,SAFE,9675,42,26,0,836.28658008658,0.971296840983252,29,0,0,0,0,0,0,0,0,0,12,42,124,42,0,10.333333333333334,3.5,11
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,4,SAFE,4052,14,3,9,88.93333333333334,0.9772893772893774,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,8,SAFE,5962,23,11,11,237.9718253968254,0.9406001003827091,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,16,SAFE,8731,35,15,11,538.8023809523811,0.9055502200880354,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,4,SAFE,4260,14,5,7,88.28333333333333,0.9701465201465201,11,0,90,90,76,43,12,0,0,1,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,8,SAFE,6002,22,10,10,215.97182539682538,0.9349429670858241,15,0,198,198,161,65,21,0,0,9,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,16,SAFE,8908,35,15,10,538.1335497835498,0.9044261340899997,20,0,495,495,431,107,34,0,0,10,0,0,0,0,0,0.0,0.0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,4,SAFE,3875,11,4,0,51.7,0.9400000000000001,8,0,0,0,0,0,0,0,0,0,6,10,40,10,0,6.666666666666667,1.6666666666666667,4
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,8,SAFE,6211,26,11,0,307.673717948718,0.9466883629191323,19,0,0,0,0,0,0,0,0,0,12,25,100,25,0,8.333333333333334,2.0833333333333335,12
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,BATCH_LCPS,true,true,16,SAFE,9938,37,17,0,610.1002525252524,0.9160664452331116,22,0,0,0,0,0,0,0,0,0,10,36,112,36,0,11.2,3.6,10
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,true,4,UNKNOWN,4274,11,5,5,52.4,0.9527272727272728,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,true,8,UNKNOWN,6116,15,5,8,89.57936507936509,0.8531368102796675,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,true,16,UNKNOWN,5198,16,0,1,39.82389081506727,0.3318657567922273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,4,UNKNOWN,4287,11,5,5,52.4,0.9527272727272728,7,0,58,58,45,8,7,0,0,1,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,8,UNKNOWN,6128,15,5,8,89.57936507936509,0.8531368102796675,7,0,227,227,189,25,14,0,0,1,0,0,0,0,0,0.0,0.0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,16,UNKNOWN,5015,16,0,1,39.82389081506727,0.3318657567922273,0,0,463,463,340,0,15,0,0,1,0,0,0,0,0,0.0,0.0,0
