benchmark,mode,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed
easy-small,PAPER,1,SAFE,1511,1,0,0,0.0,0.0,1,0
easy-small,PAPER,2,SAFE,1727,1,0,1,0.0,0.0,1,1
easy-small,PAPER,4,SAFE,2132,1,0,1,0.0,0.0,1,1
easy-small,PAPER,8,SAFE,2993,1,0,1,0.0,0.0,1,1
easy-small,PAPER,16,SAFE,4679,1,0,1,0.0,0.0,1,1
easy-small,LCPS,1,SAFE,1491,1,0,0,0.0,0.0,1,0
easy-small,LCPS,2,SAFE,1714,1,0,1,0.0,0.0,1,1
easy-small,LCPS,4,SAFE,2158,1,0,1,0.0,0.0,1,1
easy-small,LCPS,8,SAFE,3008,1,0,1,0.0,0.0,1,1
easy-small,LCPS,16,SAFE,4686,1,0,1,0.0,0.0,1,1
medium-loop,PAPER,1,SAFE,1842,2,0,0,1.0,1.0,2,0
medium-loop,PAPER,2,SAFE,2211,3,0,2,2.5,0.8333333333333334,2,0
medium-loop,PAPER,4,SAFE,2832,5,0,2,6.416666666666667,0.6416666666666667,2,0
medium-loop,PAPER,8,SAFE,4519,9,0,2,16.460714285714285,0.4572420634920635,2,0
medium-loop,PAPER,16,SAFE,6922,17,0,2,41.47239288489287,0.3049440653300946,2,0
medium-loop,LCPS,1,SAFE,1823,2,0,0,1.0,1.0,2,0
medium-loop,LCPS,2,SAFE,2227,3,0,2,2.5,0.8333333333333334,2,0
medium-loop,LCPS,4,SAFE,3090,5,0,2,6.416666666666667,0.6416666666666667,2,0
medium-loop,LCPS,8,SAFE,4542,9,0,2,16.460714285714285,0.4572420634920635,2,0
medium-loop,LCPS,16,SAFE,6721,17,0,2,41.47239288489287,0.3049440653300946,2,0
hidden-inequality,PAPER,1,SAFE,2177,4,0,0,6.0,1.0,4,0
hidden-inequality,PAPER,2,SAFE,2729,7,3,3,20.666666666666668,0.9841269841269842,6,0
hidden-inequality,PAPER,4,SAFE,3790,12,6,6,63.4,0.9606060606060606,9,0
hidden-inequality,PAPER,8,SAFE,4826,16,6,9,104.57936507936509,0.871494708994709,9,0
hidden-inequality,PAPER,16,SAFE,6529,20,5,8,109.82389081506727,0.5780204779740383,9,3
hidden-inequality,LCPS,1,SAFE,2193,4,0,0,6.0,1.0,4,0
hidden-inequality,LCPS,2,SAFE,2739,7,3,3,20.666666666666668,0.9841269841269842,6,0
hidden-inequality,LCPS,4,SAFE,3784,12,6,6,63.4,0.9606060606060606,9,0
hidden-inequality,LCPS,8,SAFE,4810,16,6,9,104.57936507936509,0.871494708994709,10,0
hidden-inequality,LCPS,16,SAFE,6533,20,6,9,109.82389081506727,0.5780204779740383,10,4
concurrent-fischer,PAPER,1,SAFE,1796,9,0,0,36.0,1.0,9,0
concurrent-fischer,PAPER,2,SAFE,1829,9,0,0,36.0,1.0,9,0
concurrent-fischer,PAPER,4,SAFE,1822,9,0,0,36.0,1.0,9,0
concurrent-fischer,PAPER,8,SAFE,1789,9,0,0,36.0,1.0,9,0
concurrent-fischer,PAPER,16,SAFE,1813,9,0,0,36.0,1.0,9,0
concurrent-fischer,LCPS,1,SAFE,1811,9,0,0,36.0,1.0,9,0
concurrent-fischer,LCPS,2,SAFE,1816,9,0,0,36.0,1.0,9,0
concurrent-fischer,LCPS,4,SAFE,1818,9,0,0,36.0,1.0,9,0
concurrent-fischer,LCPS,8,SAFE,1786,9,0,0,36.0,1.0,9,0
concurrent-fischer,LCPS,16,SAFE,1754,9,0,0,36.0,1.0,9,0
