benchmark,mode,stale_tracking,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,2,SAFE,3169,11,6,2,54.464285714285715,0.9902597402597403,10,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,4,SAFE,3864,12,5,5,71.50992063492063,1.0834836459836459,10,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,8,SAFE,6166,26,15,6,325.5856227106227,1.0018019160326852,20,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,16,SAFE,7841,37,20,3,611.4853976905449,0.918146242778596,23,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,2,SAFE,3180,10,4,2,44.464285714285715,0.9880952380952381,9,0,15,15,10,7,3
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,4,SAFE,3889,13,5,6,83.50992063492063,1.070640008140008,11,0,73,73,59,19,10
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,8,SAFE,5733,22,11,3,215.0233238983239,0.9308368999927441,15,0,133,133,114,56,18
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,16,SAFE,8070,37,19,3,585.3341533466536,0.8788801101301105,22,0,366,366,321,130,34
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,2,SAFE,3198,7,1,3,20.75,0.9880952380952381,6,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,4,SAFE,4123,14,4,7,88.35,0.9708791208791209,11,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,8,SAFE,6025,23,11,11,237.9718253968254,0.9406001003827091,16,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,16,SAFE,9050,35,15,12,539.1660173160174,0.9061613736403653,20,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,2,SAFE,3167,7,1,3,20.75,0.9880952380952381,6,0,11,11,8,6,3
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,4,SAFE,3917,13,5,8,75.93333333333334,0.9735042735042736,10,0,68,68,57,30,11
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,8,SAFE,6741,24,12,10,260.63849206349204,0.9443423625488842,17,0,203,203,166,70,22
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,16,SAFE,8607,35,15,12,539.1660173160174,0.9061613736403653,20,0,487,487,419,102,34
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,2,UNKNOWN,3382,7,2,2,20.666666666666668,0.9841269841269842,5,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,4,UNKNOWN,4347,11,5,4,51.55384615384615,0.9373426573426573,7,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,8,UNKNOWN,6198,15,5,8,89.57936507936509,0.8531368102796675,7,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,16,UNKNOWN,5045,16,0,1,39.82389081506727,0.3318657567922273,0,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,2,UNKNOWN,3384,7,2,2,20.666666666666668,0.9841269841269842,5,0,12,12,8,2,2
