benchmark,mode,stale_tracking,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,8,SAFE,4898,19,6,2,148.64898434898433,0.8692923061344113,12,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,16,SAFE,7844,35,20,6,610.8123584748587,1.0265753923947205,23,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,8,SAFE,4648,17,6,1,114.10352980352978,0.838996542673013,10,0,114,114,92,42,14
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,16,SAFE,8086,37,20,5,618.9172415819478,0.9293051675404621,23,0,383,383,333,140,35
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,false,8,SAFE,4881,19,0,3,149.1035298035298,0.8719504666873088,12,0,141,141,115,0,16
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,false,16,SAFE,7833,35,0,4,546.345691808192,0.9182280534591462,21,0,349,349,299,0,33
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,8,SAFE,7126,25,13,12,284.9718253968254,0.9499060846560847,18,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,16,SAFE,8786,35,15,12,539.1660173160174,0.9061613736403653,20,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,8,SAFE,6472,22,12,11,247.9718253968254,1.0734711056139628,17,0,214,214,175,88,23
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,16,SAFE,8766,35,15,10,538.4971861471862,0.9050372876423297,20,0,496,496,425,108,34
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,false,8,SAFE,7110,24,0,12,260.9718253968254,0.9455500920174834,17,0,214,214,175,0,23
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,false,16,SAFE,8815,35,0,12,539.1660173160174,0.9061613736403653,20,0,493,493,428,0,34
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,8,UNKNOWN,6233,15,5,8,89.57936507936509,0.8531368102796675,7,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,16,UNKNOWN,5032,16,0,1,39.82389081506727,0.3318657567922273,0,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,8,UNKNOWN,6180,15,5,8,89.57936507936509,0.8531368102796675,7,0,227,227,189,25,14
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,16,UNKNOWN,5034,16,0,1,39.82389081506727,0.3318657567922273,0,0,463,463,340,0,15
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,false,8,UNKNOWN,6217,15,0,8,89.57936507936509,0.8531368102796675,7,0,227,227,189,0,14
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,false,16,UNKNOWN,4806,16,0,1,39.82389081506727,0.3318657567922273,0,0,463,463,340,0,15
