benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,false,8,SAFE,5072,19,9,0,148.64898434898433,0.8692923061344113,13,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,false,16,SAFE,7781,37,20,0,615.5395643572117,0.9242335801159335,23,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,false,8,SAFE,4607,17,6,0,114.10352980352978,0.838996542673013,10,0,127,127,104,48,16,0,0,6
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,false,16,SAFE,8013,36,19,0,580.695446710153,0.9217388043018301,22,0,387,387,341,132,36,0,0,16
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL,true,false,8,SAFE,4586,17,5,0,114.10352980352978,0.838996542673013,10,0,164,164,112,54,16,6,16,7
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL,true,false,16,SAFE,8018,36,19,0,581.0954467101528,0.9223737249367505,22,0,452,452,341,85,36,0,37,10
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,false,8,SAFE,6387,23,11,0,237.19404761904764,0.9375258799171844,16,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,false,16,SAFE,8531,33,15,0,471.89329004329016,0.8937372917486556,20,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,false,8,SAFE,6669,22,11,0,232.9718253968254,1.008536040678898,16,0,200,200,162,68,22,0,0,7
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,false,16,SAFE,8517,34,14,0,505.1660173160174,0.9004741841640239,19,0,477,477,412,101,33,0,0,8
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL,true,false,8,SAFE,5953,23,11,0,237.32738095238093,0.9380528891398456,16,0,259,259,187,79,22,2,24,11
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL,true,false,16,SAFE,9153,35,15,0,538.402380952381,0.9048779511804723,20,0,554,554,425,108,34,1,57,12
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,false,8,UNKNOWN,6141,15,5,0,89.57936507936509,0.8531368102796675,7,0,0,0,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,false,16,UNKNOWN,4989,16,0,0,39.82389081506727,0.3318657567922273,0,0,0,0,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,false,8,UNKNOWN,6114,15,5,0,89.57936507936509,0.8531368102796675,7,0,227,227,189,25,14,0,0,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,false,16,UNKNOWN,4760,16,0,0,39.82389081506727,0.3318657567922273,0,0,463,463,340,0,15,0,0,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL,true,false,8,UNKNOWN,6161,15,5,0,89.57936507936509,0.8531368102796675,7,0,252,252,189,25,14,0,34,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL,true,false,16,UNKNOWN,5192,16,0,0,39.82389081506727,0.3318657567922273,0,0,493,493,340,0,15,0,119,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,false,8,SAFE,5492,14,5,0,75.57936507936509,0.8305424733996164,7,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,false,16,SAFE,8550,22,4,0,149.91479990597637,0.6489818177747895,7,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,false,8,SAFE,5493,14,5,0,75.57936507936509,0.8305424733996164,7,0,223,223,184,20,13,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,false,16,SAFE,9082,22,4,0,150.82389081506727,0.6529172762557025,7,0,711,711,580,20,21,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL,true,false,8,SAFE,5262,14,5,0,75.57936507936509,0.8305424733996164,7,0,245,245,184,20,13,0,33,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL,true,false,16,SAFE,8721,22,5,0,150.82389081506727,0.6529172762557025,7,0,749,749,580,20,21,0,125,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,false,8,SAFE,5142,11,2,0,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,false,16,SAFE,7776,19,2,0,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,false,8,SAFE,5148,11,2,0,39.57936507936508,0.7196248196248197,4,0,162,162,128,3,10,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,false,16,SAFE,7793,19,2,0,90.82389081506727,0.5311338644155981,4,0,594,594,468,3,18,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,false,8,SAFE,5224,11,2,0,39.57936507936508,0.7196248196248197,4,0,180,180,128,3,10,0,30,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,false,16,SAFE,7588,19,2,0,90.82389081506727,0.5311338644155981,4,0,628,628,468,3,18,0,122,1
