benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,4,SAFE,4009,13,7,5,87.50992063492063,1.1219220594220594,11,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,8,SAFE,5647,21,9,4,195.05537518037517,0.9288351199065484,14,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,16,SAFE,7769,36,20,7,613.9998584748587,0.9746029499600931,23,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,4,SAFE,3775,13,5,4,74.8670634920635,0.9598341473341474,10,0,62,62,47,17,9,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,8,SAFE,4866,20,9,3,168.1035298035298,0.8847554200185779,13,0,141,141,115,34,16,0,0,6
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,16,SAFE,7785,33,18,5,512.4898268398272,0.9706246720451273,21,0,335,335,284,68,32,0,0,14
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL,true,true,4,SAFE,4054,15,7,7,102.50992063492063,0.9762849584278156,12,0,103,103,68,22,11,3,11,3
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL,true,true,8,SAFE,4582,17,6,1,114.10352980352978,0.838996542673013,10,0,141,141,92,42,14,0,14,6
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL,true,true,16,SAFE,8019,36,20,5,581.0123584748587,0.9222418388489821,22,0,428,428,318,128,34,0,35,16
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,4,SAFE,4049,14,3,9,88.93333333333334,0.9772893772893774,11,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,8,SAFE,7085,25,13,10,284.19404761904764,0.9473134920634921,18,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,16,SAFE,8959,36,16,8,563.1577700077698,0.8939012222345553,21,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,4,SAFE,3845,13,5,7,75.68333333333334,0.9702991452991453,10,0,68,68,57,36,11,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,8,SAFE,7047,25,13,12,284.6384920634921,0.9487949735449737,18,0,227,227,187,96,24,0,0,5
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,16,SAFE,8727,35,15,9,537.6205627705629,0.9035639710429628,20,0,486,486,417,108,34,0,0,13
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL,true,true,4,SAFE,4114,13,3,7,75.68333333333334,0.9702991452991453,10,0,103,103,72,41,11,3,11,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL,true,true,8,SAFE,6656,25,13,12,284.9940476190476,0.9499801587301586,18,0,260,260,186,88,23,2,25,6
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL,true,true,16,SAFE,8937,35,15,11,538.7660173160174,0.9054891047328023,20,0,552,552,426,109,34,1,57,13
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,true,4,UNKNOWN,4279,11,5,6,52.4,0.9527272727272728,7,0,0,0,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,true,8,UNKNOWN,6138,15,5,8,89.57936507936509,0.8531368102796675,7,0,0,0,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,PAPER,true,true,16,UNKNOWN,4788,16,0,1,39.82389081506727,0.3318657567922273,0,0,0,0,0,0,0,0,0,0
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,4,UNKNOWN,4294,11,5,5,52.4,0.9527272727272728,7,0,58,58,45,8,7,0,0,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,8,UNKNOWN,6129,15,5,8,89.57936507936509,0.8531368102796675,7,0,227,227,189,25,14,0,0,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS,true,true,16,UNKNOWN,4982,16,0,1,39.82389081506727,0.3318657567922273,0,0,463,463,340,0,15,0,0,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL,true,true,4,UNKNOWN,4301,12,6,6,63.4,0.9606060606060606,8,0,92,92,63,21,8,0,10,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL,true,true,8,UNKNOWN,6120,15,5,8,89.57936507936509,0.8531368102796675,7,0,252,252,189,25,14,0,34,1
examples-programs-20170304-DifficultPathPrograms-resultKnown-interleave_bits.i_3-2d793c20,LCPS_FULL,true,true,16,UNKNOWN,4972,16,0,1,39.82389081506727,0.3318657567922273,0,0,493,493,340,0,15,0,119,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,4,SAFE,4089,9,2,5,33.4,0.9277777777777777,6,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,8,SAFE,5695,14,5,6,74.72222222222223,0.8211233211233212,7,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,PAPER,true,true,16,SAFE,8740,22,4,7,150.82389081506727,0.6529172762557025,7,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,4,SAFE,4094,9,2,5,33.4,0.9277777777777777,6,0,59,59,44,4,7,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,8,SAFE,5264,14,5,7,75.57936507936509,0.8305424733996164,7,0,220,220,181,19,13,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS,true,true,16,SAFE,8721,22,4,7,150.82389081506727,0.6529172762557025,7,0,711,711,580,20,21,0,0,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL,true,true,4,SAFE,4080,9,3,5,33.4,0.9277777777777777,6,0,71,71,44,4,7,0,9,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL,true,true,8,SAFE,5276,14,5,7,75.57936507936509,0.8305424733996164,7,0,245,245,184,20,13,0,33,1
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-diamond2.i_4-22ecac6d,LCPS_FULL,true,true,16,SAFE,8710,22,4,6,149.91479990597637,0.6489818177747895,7,0,737,737,567,20,21,0,125,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,4,SAFE,123187,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,8,SAFE,5090,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,true,true,16,SAFE,7694,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,4,SAFE,122717,13,7,5,75.4,0.9666666666666668,10,0,58,58,44,8,7,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,8,SAFE,5133,11,2,4,39.57936507936508,0.7196248196248197,4,0,162,162,128,3,10,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS,true,true,16,SAFE,7560,19,2,4,90.82389081506727,0.5311338644155981,4,0,594,594,468,3,18,0,0,1
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,LCPS_FULL,true,true,4,SAFE,122198,13,7,5,75.4,0.9666666666666668,10,0,71,71,45,8,7,0,9,1
