benchmark,mode,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,8,SAFE,5055,20,9,3,168.1035298035298,0.8847554200185779,13,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,true,true,16,SAFE,7802,35,20,6,611.0219172983881,1.0269275920981311,23,0,0,0,0,0,0,0,0,0
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,8,SAFE,4594,16,5,1,98.10352980352978,0.8175294150294149,9,0,114,114,95,42,14,0,0,6
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS,true,true,16,SAFE,8229,35,17,6,578.4708379855442,0.9722198957740239,22,0,363,363,310,87,34,0,0,15
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_STALE_FIRST,true,true,8,SAFE,4615,17,6,1,114.10352980352978,0.838996542673013,10,0,114,114,95,42,14,0,0,5
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_STALE_FIRST,true,true,16,SAFE,8005,35,19,5,577.5552506317215,0.9706810934986916,22,0,366,366,320,130,34,0,0,14
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL,true,true,8,SAFE,5064,21,10,3,187.80941215647098,0.8943305340784332,14,0,189,189,130,45,17,0,17,6
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL,true,true,16,SAFE,8051,34,18,6,576.0002497502501,1.02673841310205,22,0,425,425,307,87,34,0,35,16
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL_STALE_FIRST,true,true,8,SAFE,4594,17,6,1,114.10352980352978,0.838996542673013,10,0,141,141,92,42,14,0,14,6
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,LCPS_FULL_STALE_FIRST,true,true,16,SAFE,7808,36,19,5,580.8219172983881,0.9219395512672828,22,0,427,427,314,87,34,0,35,14
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,8,SAFE,5785,22,11,10,230.51727994227994,0.9979103027804327,16,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,PAPER,true,true,16,SAFE,8733,35,15,11,538.3478354978356,0.9047862781476229,20,0,0,0,0,0,0,0,0,0
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,8,SAFE,6474,23,12,10,253.1940476190476,1.0007669866365518,17,0,199,199,157,70,22,0,0,12
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS,true,true,16,SAFE,9312,35,15,11,540.2665945165945,0.9080110832211673,20,0,485,485,416,97,34,0,0,16
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_STALE_FIRST,true,true,8,SAFE,6207,23,11,8,236.07485569985565,0.9331021964421172,16,0,207,207,171,85,22,0,0,5
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_STALE_FIRST,true,true,16,SAFE,9362,35,15,12,539.1660173160174,0.9061613736403653,20,0,495,495,431,108,34,0,0,7
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL,true,true,8,SAFE,7773,29,17,15,404.8304112554112,0.9971192395453478,23,0,373,373,278,156,28,7,30,9
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL,true,true,16,SAFE,9342,35,15,9,531.6216505716505,0.8934817656666396,20,0,602,602,477,101,34,1,58,12
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-invert_string.i_4-75f9c6bb,LCPS_FULL_STALE_FIRST,true,true,8,SAFE,5750,19,9,8,185.9940476190476,1.0876844890002784,14,0,218,218,148,67,20,2,22,7
