benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_triggered_by_first_fill,adaptive_triggered_by_first_fill_or_stale,adaptive_triggered_by_threads_ge_4_first_fill,first_dispatch_in_current_abstraction,adaptive_min_available_slots
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,0,true,true,4,SAFE,122965,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,1,true,true,4,SAFE,122401,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,2,true,true,4,SAFE,123007,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,3,true,true,4,SAFE,122445,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,4,true,true,4,SAFE,121757,13,7,5,75.4,0.9666666666666668,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,0,true,true,8,SAFE,5124,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,1,true,true,8,SAFE,5138,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,2,true,true,8,SAFE,5105,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,3,true,true,8,SAFE,5163,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,4,true,true,8,SAFE,5128,11,2,4,39.57936507936508,0.7196248196248197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,0,true,true,16,SAFE,7606,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,1,true,true,16,SAFE,7580,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,2,true,true,16,SAFE,7807,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,3,true,true,16,SAFE,7550,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,PAPER,n/a,4,true,true,16,SAFE,7771,19,2,4,90.82389081506727,0.5311338644155981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,n/a,0,true,true,4,SAFE,3018,6,1,0,12.4,0.8266666666666667,3,0,0,0,0,0,0,0,0,0,3,5,20,5,0,6.666666666666667,1.6666666666666667,3,24,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,n/a,1,true,true,4,SAFE,3047,6,1,0,12.4,0.8266666666666667,3,0,0,0,0,0,0,0,0,0,3,5,20,5,0,6.666666666666667,1.6666666666666667,3,24,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,n/a,2,true,true,4,SAFE,3275,6,1,0,12.4,0.8266666666666667,3,0,0,0,0,0,0,0,0,0,3,5,20,5,0,6.666666666666667,1.6666666666666667,3,23,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,n/a,3,true,true,4,SAFE,3039,6,1,0,12.4,0.8266666666666667,3,0,0,0,0,0,0,0,0,0,3,5,20,5,0,6.666666666666667,1.6666666666666667,3,25,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
k-examples-programs-20170304-DifficultPathPrograms-resultKnown-count_up_down.i_3-aa4a8d5f,BATCH_LCPS,n/a,4,true,true,4,SAFE,3255,6,1,0,12.4,0.8266666666666667,3,0,0,0,0,0,0,0,0,0,3,5,20,5,0,6.666666666666667,1.6666666666666667,3,24,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
