benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_triggered_by_first_fill,adaptive_triggered_by_first_fill_or_stale,adaptive_triggered_by_threads_ge_4_first_fill,first_dispatch_in_current_abstraction,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,4,SAFE,4224,14,6,4,88.05537518037518,0.9676414854986284,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,8,SAFE,4851,19,7,3,149.1035298035298,0.8719504666873088,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,16,SAFE,8045,37,19,6,619.1133200133202,0.9295995795995798,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,4,SAFE,3604,15,7,0,102.07698412698413,0.9721617535903251,12,0,0,0,0,0,0,0,0,0,10,14,56,14,0,5.6,1.4,7,27,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,8,SAFE,4420,20,11,0,171.14438747526984,0.9007599340803676,13,0,0,0,0,0,0,0,0,0,6,19,76,19,0,12.666666666666666,3.1666666666666665,6,32,2,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,16,SAFE,8558,35,16,0,540.0229603729604,0.9076016140722023,20,0,0,0,0,0,0,0,0,0,7,34,92,34,0,13.142857142857142,4.857142857142857,7,46,5,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_STALE,STALE_ONLY,0,true,true,4,SAFE,3828,14,5,2,87.91094402673349,0.9660543299641042,11,0,0,0,0,0,0,0,0,0,2,5,20,5,0,10.0,2.5,2,8,1,STALE_ONLY,2,6,0,2,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_STALE,STALE_ONLY,0,true,true,8,SAFE,5747,25,14,10,294.00624375624375,0.9800208125208125,19,0,0,0,0,0,0,0,0,0,1,8,32,8,0,32.0,8.0,1,10,3,STALE_ONLY,1,11,0,1,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_STALE,STALE_ONLY,0,true,true,16,SAFE,8233,34,17,4,514.8746420246421,0.9177801105608593,20,0,0,0,0,0,0,0,0,0,1,14,32,14,0,32.0,14.0,1,12,5,STALE_ONLY,1,6,0,1,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,4,SAFE,3775,13,6,1,75.07698412698413,0.9625254375254375,10,0,0,0,0,0,0,0,0,0,2,6,24,6,0,12.0,3.0,2,18,1,FIRST_FILL_ONLY,2,6,0,0,0,0,2,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,8,SAFE,5055,20,9,2,171.55615218115219,0.9029271167429063,13,0,0,0,0,0,0,0,0,0,2,14,56,14,0,28.0,7.0,2,30,4,FIRST_FILL_ONLY,2,5,0,0,0,0,2,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,16,SAFE,7742,33,17,0,444.60607170607204,0.8420569539887728,20,0,0,0,0,0,0,0,0,0,2,30,64,30,0,32.0,15.0,2,31,6,FIRST_FILL_ONLY,2,2,0,0,0,0,2,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,4,SAFE,3793,13,5,1,75.07698412698413,0.9625254375254375,10,0,0,0,0,0,0,0,0,0,2,6,24,6,0,12.0,3.0,2,15,1,FIRST_FILL_OR_STALE,2,6,0,0,0,0,0,2,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,8,SAFE,4854,21,11,2,190.88948551448553,0.9089975500689788,14,0,0,0,0,0,0,0,0,0,3,16,64,16,0,21.333333333333332,5.333333333333333,3,30,3,FIRST_FILL_OR_STALE,3,4,0,0,0,0,0,3,0,true,2
