benchmark,mode,adaptive_trigger_mode,repeat_index,stale_tracking,use_initial_bfs,threads,result,runtime_ms,checked_paths,stale_paths,duplicate_freshness_failures,total_pairwise_prefix_lca_divergence,avg_pairwise_prefix_lca_divergence,refinements,search_failed,lcps_checked_prefix_queries,lcps_stale_prefix_queries,lcps_checked_prefix_hits,lcps_stale_prefix_hits,lcps_search_invocations,lcps_full_cache_suffix_invocations,lcps_full_cache_suffix_fallbacks,lcps_effective_priority_decisions,batch_lcps_invocations,batch_lcps_available_slots_total,batch_lcps_candidates_generated,batch_lcps_candidates_selected,batch_lcps_candidate_generation_failures,batch_lcps_avg_candidate_pool_size,batch_lcps_avg_selected_batch_size,batch_lcps_effective_batch_decisions,batch_lcps_candidate_generation_time_ms,batch_lcps_selection_time_ms,adaptive_batch_trigger_mode,adaptive_batch_invocations,adaptive_batch_fallbacks,adaptive_triggered_by_duplicate,adaptive_triggered_by_stale,adaptive_triggered_by_search_failed,adaptive_triggered_by_idle_slot,adaptive_triggered_by_first_fill,adaptive_triggered_by_first_fill_or_stale,adaptive_triggered_by_threads_ge_4_first_fill,first_dispatch_in_current_abstraction,adaptive_min_available_slots
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,4,SAFE,4250,14,6,4,88.1765873015873,0.9689734868306297,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,8,SAFE,5048,19,7,3,149.1035298035298,0.8719504666873088,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,PAPER,n/a,0,true,true,16,SAFE,7806,36,20,5,611.809417298388,0.9711260592037905,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,4,SAFE,3809,15,7,0,102.07698412698413,0.9721617535903251,12,0,0,0,0,0,0,0,0,0,10,14,56,14,0,5.6,1.4,7,26,1,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,8,SAFE,4609,17,9,0,117.55615218115219,0.8643834719202367,12,0,0,0,0,0,0,0,0,0,4,16,64,16,0,16.0,4.0,4,32,2,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,BATCH_LCPS,n/a,0,true,true,16,SAFE,8173,33,16,0,507.26358086358107,0.9607264789082974,20,0,0,0,0,0,0,0,0,0,5,34,80,34,0,16.0,6.8,5,37,9,NEVER_BATCH,0,0,0,0,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_STALE,STALE_ONLY,0,true,true,4,SAFE,3596,13,5,1,74.91094402673349,0.960396718291455,10,0,0,0,0,0,0,0,0,0,2,5,20,5,0,10.0,2.5,2,8,1,STALE_ONLY,2,5,0,2,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_STALE,STALE_ONLY,0,true,true,8,SAFE,5907,27,15,5,335.61736348446874,0.9561748247420762,20,0,0,0,0,0,0,0,0,0,3,11,44,11,0,14.666666666666666,3.6666666666666665,3,14,3,STALE_ONLY,3,9,0,3,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_STALE,STALE_ONLY,0,true,true,16,SAFE,8204,33,16,3,481.87464202464224,0.9126413674709133,19,0,0,0,0,0,0,0,0,0,1,14,32,14,0,32.0,14.0,1,13,7,STALE_ONLY,1,5,0,1,0,0,0,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,4,SAFE,3598,13,5,0,74.70856307435255,0.9578020906968276,10,0,0,0,0,0,0,0,0,0,3,8,32,8,0,10.666666666666666,2.6666666666666665,3,19,1,FIRST_FILL_ONLY,3,4,0,0,0,0,3,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,8,SAFE,5220,22,13,1,216.3765740107845,0.9366951255878118,16,0,0,0,0,0,0,0,0,0,4,18,72,18,0,18.0,4.5,4,35,2,FIRST_FILL_ONLY,4,3,0,0,0,0,4,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL,FIRST_FILL_ONLY,0,true,true,16,SAFE,9464,43,26,2,842.8126662553134,0.9333473601941455,29,0,0,0,0,0,0,0,0,0,5,37,104,37,0,20.8,7.4,5,49,7,FIRST_FILL_ONLY,5,5,0,0,0,0,5,0,0,true,2
trunk-examples-programs-20170304-DifficultPathPrograms-resultKnown-eureka_05.i_5-4aad16a8,ADAPTIVE_FIRST_FILL_OR_STALE,FIRST_FILL_OR_STALE,0,true,true,4,SAFE,3586,14,6,1,87.70856307435255,0.9638303634544236,11,0,0,0,0,0,0,0,0,0,3,8,32,8,0,10.666666666666666,2.6666666666666665,3,19,1,FIRST_FILL_OR_STALE,3,5,0,0,0,0,0,3,0,true,2
